,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ths_portfolio_duration_fund,ths_jjzhjq_mkl_fund,ths_jjggbl_fund,ACEtype,Fundtype
51,470058.OF,470058,汇添富可转换债券A,汇添富基金,"吴江宏,胡奕",可转换债券型基金,5242442221.51,0.5401,2.517460587345,103.26899134046,A,转债基金
655,000297.OF,000297,鹏华可转债债券A,鹏华基金,王石千,可转换债券型基金,8985041668.56,0.3189,2.7565214862012,109.9884074331,A,转债基金
774,001045.OF,001045,华夏可转债增强债券A,华夏基金,何家琪,可转换债券型基金,3011616935.76,0.3133,2.9822926765535,131.58770419452,A,转债基金
775,001046.OF,001046,华夏可转债增强债券I,华夏基金,何家琪,可转换债券型基金,3011616935.76,0.3133,2.9822926765535,131.58770419452,,转债基金
1662,005461.OF,005461,南方希元可转债债券,南方基金,刘文良,可转换债券型基金,4978564434.03,,1.9375124456117,133.95090287808,,转债基金
1758,005771.OF,005771,银华可转债债券,银华基金,孙慧,可转换债券型基金,2804807521.32,0.18310926732335,2.0356866633356,115.18804513757,,转债基金
1846,006030.OF,006030,南方昌元转债A,南方基金,刘文良,可转换债券型基金,3741042758.43,,1.8938828734857,136.16837718978,A,转债基金
2020,006482.OF,006482,广发可转债债券A,广发基金,吴敌,可转换债券型基金,3988649476.24,0.3133,1.4690545114862,101.68068483955,A,转债基金
5348,100051.OF,100051,富国可转债A,富国基金,"张明凯,祝祯哲",可转换债券型基金,3998899616.77,0.3189,3.0096373703444,116.47871255699,A,转债基金
