,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ths_found_years_fund,ACEtype,Fundtype
61,040022.OF,040022,华安可转债债券A,华安基金,"周益鸣,卢维捷",可转换债券型基金,3143592972.84,12.282191780822,A,转债基金
104,100051.OF,100051,富国可转债A,富国基金,"张明凯,祝祯哲",可转换债券型基金,4542257999.51,12.819178082192,A,转债基金
270,470058.OF,470058,汇添富可转换债券A,汇添富基金,"吴江宏,胡奕",可转换债券型基金,5952551547.99,12.295890410959,A,转债基金
874,000297.OF,000297,鹏华可转债债券A,鹏华基金,王石千,可转换债券型基金,8594468489.13,8.6602739726027,A,转债基金
993,001045.OF,001045,华夏可转债增强债券A,华夏基金,何家琪,可转换债券型基金,2472740882.23,7.0109589041096,A,转债基金
994,001046.OF,001046,华夏可转债增强债券I,华夏基金,何家琪,可转换债券型基金,2472740882.23,7.0109589041096,,转债基金
1880,005461.OF,005461,南方希元可转债债券,南方基金,刘文良,可转换债券型基金,5295998380.07,5.5506849315068,,转债基金
2064,006030.OF,006030,南方昌元转债A,南方基金,刘文良,可转换债券型基金,4767618287.11,4.7671232876712,A,转债基金
2238,006482.OF,006482,广发可转债债券A,广发基金,吴敌,可转换债券型基金,3727946992.94,4.9123287671233,A,转债基金
